dtime,value,metric,units,device_sn,device_model
2019-10-12T16:25:29Z,0.1327967,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T16:25:31Z,0.1416402,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T16:25:33Z,0.07117265,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T16:25:35Z,0.06257469,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T16:25:37Z,0.08043402,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T16:25:39Z,0.06468491,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T16:25:41Z,0.07961659,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T16:25:43Z,0.09360527,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T16:25:45Z,0.08619625,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T16:25:47Z,0.08566276,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T16:25:49Z,0.08124146,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T16:25:51Z,0.08619027,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T16:25:53Z,0.09267182,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T16:25:55Z,0.1121688,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T16:25:57Z,0.1086773,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T16:25:59Z,0.1090852,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T16:26:01Z,0.108023,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T16:26:03Z,0.09153061,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T16:26:05Z,0.07385384,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T16:26:07Z,0.06428298,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T16:26:09Z,0.06233886,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T16:26:11Z,0.111534,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T16:26:13Z,0.08984558,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T16:26:15Z,0.06377307,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T16:26:17Z,0.06819234,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T16:26:19Z,0.09525444,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T16:26:21Z,0.09921983,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T16:26:23Z,0.1431945,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T16:26:25Z,0.1530581,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T16:26:27Z,0.1164462,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T16:26:29Z,0.1036783,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T16:26:31Z,0.1005168,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T16:26:33Z,0.09009999,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T16:26:35Z,0.09561846,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T16:26:37Z,0.09914148,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T16:26:39Z,0.1533766,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T16:26:41Z,0.1389705,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T16:26:43Z,0.2194741,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T16:26:45Z,0.2296498,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T16:26:47Z,0.1663192,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T16:26:49Z,0.1326656,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T16:26:51Z,0.104159,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T16:26:53Z,0.1178446,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T16:26:55Z,0.2246981,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T16:26:57Z,0.2404381,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T16:26:59Z,0.1528504,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T16:27:01Z,0.1249252,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T16:27:03Z,0.1528996,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T16:27:05Z,0.1509311,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T16:27:07Z,0.1521081,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T16:27:09Z,0.1740739,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T16:27:11Z,0.1256346,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T16:27:13Z,0.1237774,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T16:27:15Z,0.1094751,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T16:27:17Z,0.1321289,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T16:27:19Z,0.1346458,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T16:27:21Z,0.1676361,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T16:27:23Z,0.1654173,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T16:27:25Z,0.09737686,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T16:27:27Z,0.1122288,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T16:27:29Z,0.2098025,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T16:27:31Z,0.2244504,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T16:27:33Z,0.07211091,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T16:27:35Z,0.07485944,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T16:27:37Z,0.08505131,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T16:27:39Z,0.06391092,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T16:27:41Z,0.1008955,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T16:27:43Z,0.1049766,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T16:27:45Z,0.09714898,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T16:27:47Z,0.09956785,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T16:25:29Z,0.6183506,Depth,ft,669389,NA
2019-10-12T16:25:31Z,1.091337,Depth,ft,669389,NA
2019-10-12T16:25:33Z,1.291438,Depth,ft,669389,NA
2019-10-12T16:25:35Z,1.342541,Depth,ft,669389,NA
2019-10-12T16:25:37Z,2.63057,Depth,ft,669389,NA
2019-10-12T16:25:39Z,2.97118,Depth,ft,669389,NA
2019-10-12T16:25:41Z,4.380172,Depth,ft,669389,NA
2019-10-12T16:25:43Z,5.340098,Depth,ft,669389,NA
2019-10-12T16:25:45Z,5.922491,Depth,ft,669389,NA
2019-10-12T16:25:47Z,6.034151,Depth,ft,669389,NA
2019-10-12T16:25:49Z,7.690614,Depth,ft,669389,NA
2019-10-12T16:25:51Z,10.30229,Depth,ft,669389,NA
2019-10-12T16:25:53Z,11.39692,Depth,ft,669389,NA
2019-10-12T16:25:55Z,13.07052,Depth,ft,669389,NA
2019-10-12T16:25:57Z,14.49926,Depth,ft,669389,NA
2019-10-12T16:25:59Z,14.75319,Depth,ft,669389,NA
2019-10-12T16:26:01Z,15.99719,Depth,ft,669389,NA
2019-10-12T16:26:03Z,18.06879,Depth,ft,669389,NA
2019-10-12T16:26:05Z,18.97468,Depth,ft,669389,NA
2019-10-12T16:26:07Z,20.41032,Depth,ft,669389,NA
2019-10-12T16:26:09Z,20.6181,Depth,ft,669389,NA
2019-10-12T16:26:11Z,22.08659,Depth,ft,669389,NA
2019-10-12T16:26:13Z,25.25869,Depth,ft,669389,NA
2019-10-12T16:26:15Z,27.01863,Depth,ft,669389,NA
2019-10-12T16:26:17Z,28.49058,Depth,ft,669389,NA
2019-10-12T16:26:19Z,30.20425,Depth,ft,669389,NA
2019-10-12T16:26:21Z,30.48567,Depth,ft,669389,NA
2019-10-12T16:26:23Z,31.63843,Depth,ft,669389,NA
2019-10-12T16:26:25Z,33.91766,Depth,ft,669389,NA
2019-10-12T16:26:27Z,35.67796,Depth,ft,669389,NA
2019-10-12T16:26:29Z,37.66114,Depth,ft,669389,NA
2019-10-12T16:26:31Z,37.97308,Depth,ft,669389,NA
2019-10-12T16:26:33Z,39.02344,Depth,ft,669389,NA
2019-10-12T16:26:35Z,41.80426,Depth,ft,669389,NA
2019-10-12T16:26:37Z,43.40899,Depth,ft,669389,NA
