dtime,value,metric,units,device_sn,device_model
2019-10-12T15:16:08Z,0.02547603,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:16:10Z,0.02627918,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:16:12Z,0.02506037,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:16:14Z,0.0126915,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:16:16Z,0.008730112,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:16:18Z,0.007862627,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:16:20Z,0.01849086,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:16:22Z,0.01497756,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:16:24Z,0.007849341,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:16:26Z,0.02775487,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:16:28Z,0.01514481,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:16:30Z,0.0143407,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:16:32Z,0.01818349,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:16:34Z,0.01228852,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:16:36Z,0.01383814,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:16:38Z,0.007514148,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:16:40Z,0.01737443,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:16:42Z,0.01842884,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:16:44Z,0.03011429,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:16:46Z,0.02909187,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:16:48Z,0.02701822,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:16:50Z,0.04976713,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:16:52Z,0.05276503,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:16:54Z,0.03149013,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:16:56Z,0.01733256,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:16:58Z,0.01427177,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:17:00Z,0.02776683,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:17:02Z,0.02546171,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:17:04Z,0.02287612,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:17:06Z,0.02227627,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:17:08Z,0.02332244,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:17:10Z,0.0335434,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:17:12Z,0.03684754,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:17:14Z,0.04006326,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:17:16Z,0.03316928,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:17:18Z,0.03232761,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:17:20Z,0.04026802,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:17:22Z,0.03301494,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:17:24Z,0.03438526,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:17:26Z,0.04234137,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:17:28Z,0.04338201,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:17:30Z,0.05834564,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:17:32Z,0.04804032,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:17:34Z,0.03373483,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:17:36Z,0.04248727,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:17:38Z,0.03412258,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:17:40Z,0.03342457,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:17:42Z,0.02907823,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:17:44Z,0.04386925,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:17:46Z,0.04705568,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:17:48Z,0.05644369,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:17:50Z,0.02317938,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:17:52Z,0.04780459,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:17:54Z,0.04972487,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:17:56Z,0.03868848,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:17:58Z,0.06117792,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:18:00Z,0.03049515,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:18:02Z,0.04753931,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:18:04Z,0.04838632,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:18:06Z,0.02921838,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:18:08Z,0.03209664,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:18:10Z,0.02941536,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:18:12Z,0.0447382,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:18:14Z,0.06798724,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:18:16Z,0.07185011,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:18:18Z,0.05499272,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:18:20Z,0.03832756,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:18:22Z,0.0584043,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:18:24Z,0.05361192,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:18:26Z,0.06095628,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:18:28Z,0.06162462,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:18:30Z,0.0589724,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:18:32Z,0.05355451,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:18:34Z,0.06860448,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:18:36Z,0.04238995,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:18:38Z,0.04610603,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:18:40Z,0.04595728,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:18:42Z,0.04632531,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:18:44Z,0.03401782,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:18:46Z,0.03258565,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:18:48Z,0.03557975,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:18:50Z,0.03593331,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:18:52Z,0.03501927,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:18:54Z,0.03528985,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:18:56Z,0.0283182,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:18:58Z,0.02701711,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:19:00Z,0.02868147,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:19:02Z,0.02889699,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:19:04Z,0.03638039,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:19:06Z,0.03255552,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:19:08Z,0.03528795,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:19:10Z,0.02632185,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:19:12Z,0.03718635,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:19:14Z,0.03826923,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:19:16Z,0.0230849,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:19:18Z,0.03569907,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:19:20Z,0.03654065,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:19:22Z,0.03178585,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:19:24Z,0.03110492,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:19:26Z,0.01791687,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:19:28Z,0.01534096,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:19:30Z,0.0204401,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:19:32Z,0.01364798,Chlorophyll-a Concentration,µg/L,670514,NA
2019-10-12T15:16:08Z,2.963771,Depth,ft,669389,NA
2019-10-12T15:16:10Z,3.02034,Depth,ft,669389,NA
2019-10-12T15:16:12Z,3.034475,Depth,ft,669389,NA
2019-10-12T15:16:14Z,2.353974,Depth,ft,669389,NA
2019-10-12T15:16:16Z,2.760275,Depth,ft,669389,NA
2019-10-12T15:16:18Z,2.793334,Depth,ft,669389,NA
2019-10-12T15:16:20Z,3.098474,Depth,ft,669389,NA
2019-10-12T15:16:22Z,5.0223,Depth,ft,669389,NA
2019-10-12T15:16:24Z,4.357861,Depth,ft,669389,NA
2019-10-12T15:16:26Z,7.554298,Depth,ft,669389,NA
2019-10-12T15:16:28Z,9.912531,Depth,ft,669389,NA
2019-10-12T15:16:30Z,10.38163,Depth,ft,669389,NA
2019-10-12T15:16:32Z,13.25579,Depth,ft,669389,NA
2019-10-12T15:16:34Z,17.00233,Depth,ft,669389,NA
2019-10-12T15:16:36Z,16.68167,Depth,ft,669389,NA
2019-10-12T15:16:38Z,18.43512,Depth,ft,669389,NA
2019-10-12T15:16:40Z,19.90633,Depth,ft,669389,NA
2019-10-12T15:16:42Z,20.1883,Depth,ft,669389,NA
2019-10-12T15:16:44Z,20.27014,Depth,ft,669389,NA
2019-10-12T15:16:46Z,23.49564,Depth,ft,669389,NA
2019-10-12T15:16:48Z,24.47952,Depth,ft,669389,NA
2019-10-12T15:16:50Z,27.14754,Depth,ft,669389,NA
2019-10-12T15:16:52Z,27.52073,Depth,ft,669389,NA
2019-10-12T15:16:54Z,29.78099,Depth,ft,669389,NA
2019-10-12T15:16:56Z,30.83672,Depth,ft,669389,NA
2019-10-12T15:16:58Z,32.87741,Depth,ft,669389,NA
2019-10-12T15:17:00Z,35.49035,Depth,ft,669389,NA
2019-10-12T15:17:02Z,36.47178,Depth,ft,669389,NA
2019-10-12T15:17:04Z,37.34738,Depth,ft,669389,NA
2019-10-12T15:17:06Z,37.48933,Depth,ft,669389,NA
2019-10-12T15:17:08Z,40.61649,Depth,ft,669389,NA
2019-10-12T15:17:10Z,41.25895,Depth,ft,669389,NA
2019-10-12T15:17:12Z,43.64327,Depth,ft,669389,NA
2019-10-12T15:17:14Z,45.60429,Depth,ft,669389,NA
2019-10-12T15:17:16Z,45.58951,Depth,ft,669389,NA
2019-10-12T15:17:18Z,45.65327,Depth,ft,669389,NA
2019-10-12T15:17:20Z,48.11037,Depth,ft,669389,NA
2019-10-12T15:17:22Z,49.42017,Depth,ft,669389,NA
2019-10-12T15:17:24Z,53.79477,Depth,ft,669389,NA
2019-10-12T15:17:26Z,53.14181,Depth,ft,669389,NA
2019-10-12T15:17:28Z,53.27483,Depth,ft,669389,NA
2019-10-12T15:17:30Z,54.64581,Depth,ft,669389,NA
2019-10-12T15:17:32Z,57.52439,Depth,ft,669389,NA
2019-10-12T15:17:34Z,59.08997,Depth,ft,669389,NA
2019-10-12T15:17:36Z,59.83217,Depth,ft,669389,NA
