csv,dtime,chl_mgL,depth_ft,lat_dd,lon_dd,o2_mgL,salinity_psu,temp_c,bdepth_ft
VuSitu_2019-09-08_18-16-29_Device Location_LiveReadings.csv,2019-09-08T18:16:55Z,0.07179123,2.418098,26.707097560975605,-83.04399674796748,6.199084,32.26551,31.69664,127.2307
VuSitu_2019-09-08_18-16-29_Device Location_LiveReadings.csv,2019-09-08T18:16:57Z,0.05961221,3.993016,26.707097560975605,-83.04399674796748,6.194818,35.23271,31.67608,127.2307
VuSitu_2019-09-08_18-16-29_Device Location_LiveReadings.csv,2019-09-08T18:16:59Z,0.08294721,6.5848,26.707097560975605,-83.04399674796748,6.112621,35.67855,31.63877,127.2307
VuSitu_2019-09-08_18-16-29_Device Location_LiveReadings.csv,2019-09-08T18:17:01Z,0.08563452,7.011467,26.707097560975605,-83.04399674796748,6.100716,35.85871,31.63278,127.2307
VuSitu_2019-09-08_18-16-29_Device Location_LiveReadings.csv,2019-09-08T18:17:03Z,0.06988486,13.92409,26.707097560975605,-83.04399674796748,6.074807,35.65797,31.43955,127.2307
VuSitu_2019-09-08_18-16-29_Device Location_LiveReadings.csv,2019-09-08T18:17:05Z,0.05768694,18.28106,26.707097560975605,-83.04399674796748,6.04038,35.54325,31.32865,127.2307
VuSitu_2019-09-08_18-16-29_Device Location_LiveReadings.csv,2019-09-08T18:17:07Z,0.06727051,22.74944,26.707097560975605,-83.04399674796748,6.066809,35.59677,31.03919,127.2307
VuSitu_2019-09-08_18-16-29_Device Location_LiveReadings.csv,2019-09-08T18:17:09Z,0.06852871,27.38636,26.707097560975605,-83.04399674796748,6.086241,35.65072,30.93717,127.2307
VuSitu_2019-09-08_18-16-29_Device Location_LiveReadings.csv,2019-09-08T18:17:11Z,0.06935785,32.25431,26.707097560975605,-83.04399674796748,6.094303,35.68489,30.83716,127.2307
VuSitu_2019-09-08_18-16-29_Device Location_LiveReadings.csv,2019-09-08T18:17:13Z,0.06944819,33.08901,26.707097560975605,-83.04399674796748,6.096054,35.69154,30.8214,127.2307
VuSitu_2019-09-08_18-16-29_Device Location_LiveReadings.csv,2019-09-08T18:17:15Z,0.05885748,37.31454,26.707097560975605,-83.04399674796748,6.095849,35.75055,30.77232,127.2307
VuSitu_2019-09-08_18-16-29_Device Location_LiveReadings.csv,2019-09-08T18:17:17Z,0.06300044,48.66098,26.707097560975605,-83.04399674796748,6.09083,35.79828,30.74326,127.2307
VuSitu_2019-09-08_18-16-29_Device Location_LiveReadings.csv,2019-09-08T18:17:19Z,0.08315681,54.78859,26.707097560975605,-83.04399674796748,6.09493,35.85214,30.71159,127.2307
VuSitu_2019-09-08_18-16-29_Device Location_LiveReadings.csv,2019-09-08T18:17:21Z,0.0887356,59.84573,26.707097560975605,-83.04399674796748,6.095281,35.89395,30.68488,127.2307
VuSitu_2019-09-08_18-16-29_Device Location_LiveReadings.csv,2019-09-08T18:17:23Z,0.09037734,60.73054,26.707097560975605,-83.04399674796748,6.095546,35.90169,30.68005,127.2307
VuSitu_2019-09-08_18-16-29_Device Location_LiveReadings.csv,2019-09-08T18:17:25Z,0.08491978,65.35541,26.707097560975605,-83.04399674796748,6.075302,35.92828,30.62429,127.2307
VuSitu_2019-09-08_18-16-29_Device Location_LiveReadings.csv,2019-09-08T18:17:27Z,0.08324742,70.44038,26.707097560975605,-83.04399674796748,6.076149,35.9361,30.60633,127.2307
VuSitu_2019-09-08_18-16-29_Device Location_LiveReadings.csv,2019-09-08T18:17:29Z,0.08354002,73.31294,26.707097560975605,-83.04399674796748,6.068846,36.01328,30.59987,127.2307
VuSitu_2019-09-08_18-16-29_Device Location_LiveReadings.csv,2019-09-08T18:17:31Z,0.1020721,77.0106,26.707097560975605,-83.04399674796748,6.066231,36.05939,30.57866,127.2307
VuSitu_2019-09-08_18-16-29_Device Location_LiveReadings.csv,2019-09-08T18:17:33Z,0.1043915,77.58183,26.707097560975605,-83.04399674796748,6.065565,36.06867,30.5758,127.2307
VuSitu_2019-09-08_18-16-29_Device Location_LiveReadings.csv,2019-09-08T18:17:35Z,0.1057623,79.82172,26.707097560975605,-83.04399674796748,6.041709,36.11944,30.55412,127.2307
