csv,dtime,chl_mgL,depth_ft,lat_dd,lon_dd,o2_mgL,salinity_psu,temp_c,bdepth_ft
VuSitu_2019-11-01_14-20-19_Device Location_LiveReadings.csv,2019-11-01T14:20:29Z,0.1389239,0.4512682,27.115145,-82.48690666666664,8.036622,0,27.98259,27.559053866569137
VuSitu_2019-11-01_14-20-19_Device Location_LiveReadings.csv,2019-11-01T14:21:00Z,4.352981,0.8436234,27.115145,-82.48690666666664,8.411179,18.70567,29.10701,27.559053866569137
VuSitu_2019-11-01_14-22-24_Device Location_LiveReadings.csv,2019-11-01T14:22:44Z,0.3123989,0.6464732,27.115160000000003,-82.4868725,8.545006,0,28.8603,27.559053866569137
VuSitu_2019-11-01_14-22-24_Device Location_LiveReadings.csv,2019-11-01T14:22:56Z,8.881685,0.6735259,27.115160000000003,-82.4868725,8.051007,34.6081,29.23089,27.559053866569137
VuSitu_2019-11-01_14-56-21_Device Location_LiveReadings.csv,2019-11-01T14:56:27Z,0.1362969,-0.5243802,27.112596666666647,-82.4700458333333,7.792958,0,28.72536,9.842519685039369
VuSitu_2019-11-01_14-56-21_Device Location_LiveReadings.csv,2019-11-01T14:56:29Z,0.1318858,-0.524151,27.112596666666647,-82.4700458333333,7.791562,0,28.72583,9.842519685039369
