csv,dtime,chl_mgL,depth_ft,lat_dd,lon_dd,o2_mgL,salinity_psu,temp_c,bdepth_ft
VuSitu_2019-12-07_13-55-55_Device Location_LiveReadings.csv,2019-12-07T13:56:01Z,0.1196909,5.872896,25.683095,-82.221895,6.815221,32.71972,24.26433,73.54715
VuSitu_2019-12-07_13-55-55_Device Location_LiveReadings.csv,2019-12-07T13:56:03Z,0.1196909,5.872896,25.683095,-82.221895,6.815221,32.71972,24.26433,73.54715
VuSitu_2019-12-07_13-55-55_Device Location_LiveReadings.csv,2019-12-07T13:56:05Z,0.1141011,7.215099,25.683095,-82.221895,6.811065,32.65211,24.25293,73.54715
VuSitu_2019-12-07_13-55-55_Device Location_LiveReadings.csv,2019-12-07T13:56:07Z,0.09195429,8.703243,25.683095,-82.221895,6.813949,32.6723,24.22312,73.54715
VuSitu_2019-12-07_13-55-55_Device Location_LiveReadings.csv,2019-12-07T13:56:09Z,0.08896986,8.954829,25.683095,-82.221895,6.814079,32.67118,24.2189,73.54715
VuSitu_2019-12-07_13-55-55_Device Location_LiveReadings.csv,2019-12-07T13:56:11Z,0.08292671,10.86215,25.683095,-82.221895,6.815903,32.67315,24.16809,73.54715
VuSitu_2019-12-07_13-55-55_Device Location_LiveReadings.csv,2019-12-07T13:56:13Z,0.124219,12.28878,25.683095,-82.221895,6.815784,32.69852,24.13805,73.54715
VuSitu_2019-12-07_13-55-55_Device Location_LiveReadings.csv,2019-12-07T13:56:15Z,0.06474891,14.86917,25.683095,-82.221895,6.823559,32.70289,24.10709,73.54715
VuSitu_2019-12-07_13-55-55_Device Location_LiveReadings.csv,2019-12-07T13:56:17Z,0.0711382,16.27236,25.683095,-82.221895,6.825162,32.70361,24.08944,73.54715
VuSitu_2019-12-07_13-55-55_Device Location_LiveReadings.csv,2019-12-07T13:56:19Z,0.0992793,17.7425,25.683095,-82.221895,6.822484,32.72185,24.07302,73.54715
VuSitu_2019-12-07_13-55-55_Device Location_LiveReadings.csv,2019-12-07T13:56:21Z,0.1037744,17.98742,25.683095,-82.221895,6.822142,32.72431,24.07021,73.54715
