csv,dtime,chl_mgL,depth_ft,lat_dd,lon_dd,o2_mgL,salinity_psu,temp_c,bdepth_ft
VuSitu_2019-09-18_12-46-59_Device Location_LiveReadings.csv,2019-09-18T12:47:13Z,2.754079,0.6912226,26.550457441314542,-82.69745068075117,5.948483,36.55838,30.14006,84.64566678825638
VuSitu_2019-09-18_12-46-59_Device Location_LiveReadings.csv,2019-09-18T12:47:15Z,1.883783,0.6319871,26.550457441314542,-82.69745068075117,5.946736,36.55751,30.14236,84.64566678825638
VuSitu_2019-09-18_12-46-59_Device Location_LiveReadings.csv,2019-09-18T12:47:17Z,21.24675,5.342734,26.550457441314542,-82.69745068075117,5.925833,36.45877,30.12411,84.64566678825638
VuSitu_2019-09-18_12-46-59_Device Location_LiveReadings.csv,2019-09-18T12:47:19Z,21.71588,5.551988,26.550457441314542,-82.69745068075117,5.924325,36.45362,30.12357,84.64566678825638
VuSitu_2019-09-18_12-46-59_Device Location_LiveReadings.csv,2019-09-18T12:47:21Z,22.18501,5.761243,26.550457441314542,-82.69745068075117,5.922818,36.44847,30.12303,84.64566678825638
VuSitu_2019-09-18_12-46-59_Device Location_LiveReadings.csv,2019-09-18T12:47:23Z,2.477773,9.704484,26.550457441314542,-82.69745068075117,5.913487,36.3277,30.13716,84.64566678825638
VuSitu_2019-09-18_12-46-59_Device Location_LiveReadings.csv,2019-09-18T12:47:25Z,1.847254,10.00055,26.550457441314542,-82.69745068075117,5.912555,36.31951,30.13756,84.64566678825638
VuSitu_2019-09-18_12-46-59_Device Location_LiveReadings.csv,2019-09-18T12:47:27Z,1.216736,10.29662,26.550457441314542,-82.69745068075117,5.911622,36.31132,30.13795,84.64566678825638
VuSitu_2019-09-18_12-46-59_Device Location_LiveReadings.csv,2019-09-18T12:47:29Z,0.7757954,15.8433,26.550457441314542,-82.69745068075117,5.911496,36.45619,30.08853,84.64566678825638
VuSitu_2019-09-18_12-46-59_Device Location_LiveReadings.csv,2019-09-18T12:47:31Z,0.3297592,16.2159,26.550457441314542,-82.69745068075117,5.911285,36.46121,30.08625,84.64566678825638
VuSitu_2019-09-18_12-46-59_Device Location_LiveReadings.csv,2019-09-18T12:47:33Z,0,16.5885,26.550457441314542,-82.69745068075117,5.911075,36.46623,30.08397,84.64566678825638
VuSitu_2019-09-18_12-46-59_Device Location_LiveReadings.csv,2019-09-18T12:47:35Z,0.04355219,18.24776,26.550457441314542,-82.69745068075117,5.908373,36.42481,30.00392,84.64566678825638
VuSitu_2019-09-18_12-46-59_Device Location_LiveReadings.csv,2019-09-18T12:47:37Z,0.04253185,18.4554,26.550457441314542,-82.69745068075117,5.908226,36.42579,29.99871,84.64566678825638
VuSitu_2019-09-18_12-46-59_Device Location_LiveReadings.csv,2019-09-18T12:47:39Z,0.04151151,18.66305,26.550457441314542,-82.69745068075117,5.908079,36.42677,29.9935,84.64566678825638
VuSitu_2019-09-18_12-46-59_Device Location_LiveReadings.csv,2019-09-18T12:47:41Z,0.03028961,24.13964,26.550457441314542,-82.69745068075117,5.911631,36.40261,29.95265,84.64566678825638
VuSitu_2019-09-18_12-46-59_Device Location_LiveReadings.csv,2019-09-18T12:47:43Z,0.0290717,24.46306,26.550457441314542,-82.69745068075117,5.911758,36.40048,29.94883,84.64566678825638
VuSitu_2019-09-18_12-46-59_Device Location_LiveReadings.csv,2019-09-18T12:47:45Z,0.02785378,24.78649,26.550457441314542,-82.69745068075117,5.911886,36.39835,29.94501,84.64566678825638
VuSitu_2019-09-18_12-46-59_Device Location_LiveReadings.csv,2019-09-18T12:47:47Z,0.02964339,27.3429,26.550457441314542,-82.69745068075117,5.913418,36.38228,29.9073,84.64566678825638
