csv,dtime,chl_mgL,depth_ft,lat_dd,lon_dd,o2_mgL,salinity_psu,temp_c,bdepth_ft
VuSitu_2019-12-11_15-22-42_Device Location_LiveReadings.csv,2019-12-11T15:22:46Z,0.01842658,6.613857,26.118842087719297,-82.61759159649122,6.807483,33.22246,25.17722,95.48055
VuSitu_2019-12-11_15-22-42_Device Location_LiveReadings.csv,2019-12-11T15:22:48Z,0.01842658,6.613857,26.118842087719297,-82.61759159649122,6.807483,33.22246,25.17722,95.48055
VuSitu_2019-12-11_15-22-42_Device Location_LiveReadings.csv,2019-12-11T15:22:50Z,0.01630121,6.635375,26.118842087719297,-82.61759159649122,6.812002,33.2237,25.17657,95.48055
VuSitu_2019-12-11_15-22-42_Device Location_LiveReadings.csv,2019-12-11T15:22:52Z,0.03500451,6.948499,26.118842087719297,-82.61759159649122,6.816226,33.24568,25.16994,95.48055
VuSitu_2019-12-11_15-22-42_Device Location_LiveReadings.csv,2019-12-11T15:22:54Z,0.01449242,7.942555,26.118842087719297,-82.61759159649122,6.806568,33.20794,25.17773,95.48055
VuSitu_2019-12-11_15-22-42_Device Location_LiveReadings.csv,2019-12-11T15:22:56Z,0.02464499,8.426819,26.118842087719297,-82.61759159649122,6.807202,33.22758,25.16554,95.48055
VuSitu_2019-12-11_15-22-42_Device Location_LiveReadings.csv,2019-12-11T15:22:58Z,0.02502237,8.534599,26.118842087719297,-82.61759159649122,6.806832,33.22849,25.16426,95.48055
VuSitu_2019-12-11_15-22-42_Device Location_LiveReadings.csv,2019-12-11T15:23:00Z,0.0136254,10.18965,26.118842087719297,-82.61759159649122,6.802031,33.22546,25.15375,95.48055
VuSitu_2019-12-11_15-22-42_Device Location_LiveReadings.csv,2019-12-11T15:23:02Z,0.02608692,11.61716,26.118842087719297,-82.61759159649122,6.805663,33.23437,25.1336,95.48055
VuSitu_2019-12-11_15-22-42_Device Location_LiveReadings.csv,2019-12-11T15:23:04Z,0.02758246,13.55197,26.118842087719297,-82.61759159649122,6.802118,33.23314,25.12492,95.48055
VuSitu_2019-12-11_15-22-42_Device Location_LiveReadings.csv,2019-12-11T15:23:06Z,0.01231879,15.61742,26.118842087719297,-82.61759159649122,6.801491,33.22633,25.11642,95.48055
VuSitu_2019-12-11_15-22-42_Device Location_LiveReadings.csv,2019-12-11T15:23:08Z,0.01013232,15.9694,26.118842087719297,-82.61759159649122,6.801213,33.22523,25.11511,95.48055
VuSitu_2019-12-11_15-22-42_Device Location_LiveReadings.csv,2019-12-11T15:23:10Z,0.03134451,16.28953,26.118842087719297,-82.61759159649122,6.800837,33.24192,25.10127,95.48055
VuSitu_2019-12-11_15-22-42_Device Location_LiveReadings.csv,2019-12-11T15:23:12Z,0.04284067,15.58767,26.118842087719297,-82.61759159649122,6.802681,33.2394,25.08992,95.48055
VuSitu_2019-12-11_15-22-42_Device Location_LiveReadings.csv,2019-12-11T15:23:14Z,0.05198835,19.27369,26.118842087719297,-82.61759159649122,6.799798,33.25088,25.08432,95.48055
VuSitu_2019-12-11_15-22-42_Device Location_LiveReadings.csv,2019-12-11T15:23:16Z,0.04502041,24.13695,26.118842087719297,-82.61759159649122,6.801775,33.22956,25.07413,95.48055
VuSitu_2019-12-11_15-22-42_Device Location_LiveReadings.csv,2019-12-11T15:23:18Z,0.03456939,27.69659,26.118842087719297,-82.61759159649122,6.800114,33.21999,25.06302,95.48055
VuSitu_2019-12-11_15-22-42_Device Location_LiveReadings.csv,2019-12-11T15:23:20Z,0.0327475,28.37819,26.118842087719297,-82.61759159649122,6.799999,33.21762,25.06107,95.48055
VuSitu_2019-12-11_15-22-42_Device Location_LiveReadings.csv,2019-12-11T15:23:22Z,0.01736491,28.58089,26.118842087719297,-82.61759159649122,6.794627,33.22884,25.05355,95.48055
VuSitu_2019-12-11_15-22-42_Device Location_LiveReadings.csv,2019-12-11T15:23:24Z,0.03418057,29.946,26.118842087719297,-82.61759159649122,6.794396,33.23557,25.04847,95.48055
VuSitu_2019-12-11_15-22-42_Device Location_LiveReadings.csv,2019-12-11T15:23:26Z,0.005693755,30.87986,26.118842087719297,-82.61759159649122,6.801152,33.24508,25.0368,95.48055
VuSitu_2019-12-11_15-22-42_Device Location_LiveReadings.csv,2019-12-11T15:23:28Z,0.006312647,30.55617,26.118842087719297,-82.61759159649122,6.79473,33.24496,25.03454,95.48055
VuSitu_2019-12-11_15-22-42_Device Location_LiveReadings.csv,2019-12-11T15:23:30Z,0.06215428,31.38521,26.118842087719297,-82.61759159649122,6.799826,33.24893,25.03067,95.48055
VuSitu_2019-12-11_15-22-42_Device Location_LiveReadings.csv,2019-12-11T15:23:32Z,0.07037114,31.48022,26.118842087719297,-82.61759159649122,6.800228,33.24939,25.03016,95.48055
VuSitu_2019-12-11_15-22-42_Device Location_LiveReadings.csv,2019-12-11T15:23:34Z,0.06222399,32.18718,26.118842087719297,-82.61759159649122,6.798545,33.24016,25.03327,95.48055
VuSitu_2019-12-11_15-22-42_Device Location_LiveReadings.csv,2019-12-11T15:23:36Z,0.04508975,32.59162,26.118842087719297,-82.61759159649122,6.795097,33.24395,25.02581,95.48055
VuSitu_2019-12-11_15-22-42_Device Location_LiveReadings.csv,2019-12-11T15:23:38Z,0.06097966,32.83692,26.118842087719297,-82.61759159649122,6.796891,33.24274,25.0261,95.48055
VuSitu_2019-12-11_15-22-42_Device Location_LiveReadings.csv,2019-12-11T15:23:40Z,0.03199909,32.50137,26.118842087719297,-82.61759159649122,6.793638,33.24475,25.02715,95.48055
VuSitu_2019-12-11_15-22-42_Device Location_LiveReadings.csv,2019-12-11T15:23:42Z,0.02890556,32.46455,26.118842087719297,-82.61759159649122,6.793301,33.24494,25.02736,95.48055
VuSitu_2019-12-11_15-22-42_Device Location_LiveReadings.csv,2019-12-11T15:23:44Z,0.01515566,32.95488,26.118842087719297,-82.61759159649122,6.788218,33.24275,25.02631,95.48055
VuSitu_2019-12-11_15-22-42_Device Location_LiveReadings.csv,2019-12-11T15:23:46Z,0.02529712,33.10125,26.118842087719297,-82.61759159649122,6.793835,33.24664,25.03073,95.48055
VuSitu_2019-12-11_15-22-42_Device Location_LiveReadings.csv,2019-12-11T15:23:48Z,0.04634858,33.76599,26.118842087719297,-82.61759159649122,6.798026,33.25233,25.03136,95.48055
VuSitu_2019-12-11_15-22-42_Device Location_LiveReadings.csv,2019-12-11T15:23:50Z,0.06151964,33.92244,26.118842087719297,-82.61759159649122,6.797717,33.24747,25.02818,95.48055
VuSitu_2019-12-11_15-22-42_Device Location_LiveReadings.csv,2019-12-11T15:23:52Z,0.06430822,33.9691,26.118842087719297,-82.61759159649122,6.7978,33.24702,25.02774,95.48055
VuSitu_2019-12-11_15-22-42_Device Location_LiveReadings.csv,2019-12-11T15:23:54Z,0.06235551,32.8236,26.118842087719297,-82.61759159649122,6.794751,33.25354,25.02798,95.48055
