dtime,value,metric,units,device_sn,device_model
2019-11-10T13:05:13Z,0.212193,Chlorophyll-a Concentration,µg/L,671721,NA
2019-11-10T13:05:15Z,0.2107572,Chlorophyll-a Concentration,µg/L,671721,NA
2019-11-10T13:05:17Z,0.2093214,Chlorophyll-a Concentration,µg/L,671721,NA
2019-11-10T13:05:19Z,0.2441407,Chlorophyll-a Concentration,µg/L,671721,NA
2019-11-10T13:05:21Z,0.245485,Chlorophyll-a Concentration,µg/L,671721,NA
2019-11-10T13:05:23Z,0.2468294,Chlorophyll-a Concentration,µg/L,671721,NA
2019-11-10T13:05:25Z,247.4824,Chlorophyll-a Concentration,µg/L,671721,NA
2019-11-10T13:05:27Z,261.3534,Chlorophyll-a Concentration,µg/L,671721,NA
2019-11-10T13:05:29Z,275.2244,Chlorophyll-a Concentration,µg/L,671721,NA
2019-11-10T13:05:31Z,303.3392,Chlorophyll-a Concentration,µg/L,671721,NA
2019-11-10T13:05:33Z,310.7825,Chlorophyll-a Concentration,µg/L,671721,NA
2019-11-10T13:05:35Z,318.2258,Chlorophyll-a Concentration,µg/L,671721,NA
2019-11-10T13:05:37Z,325.669,Chlorophyll-a Concentration,µg/L,671721,NA
2019-11-10T13:05:13Z,0.4834311,Depth,ft,671051,NA
2019-11-10T13:05:15Z,0.4868873,Depth,ft,671051,NA
2019-11-10T13:05:17Z,0.4903436,Depth,ft,671051,NA
2019-11-10T13:05:19Z,0.6109159,Depth,ft,671051,NA
2019-11-10T13:05:21Z,0.6190706,Depth,ft,671051,NA
2019-11-10T13:05:23Z,0.6272254,Depth,ft,671051,NA
2019-11-10T13:05:25Z,1.315325,Depth,ft,671051,NA
2019-11-10T13:05:27Z,1.356784,Depth,ft,671051,NA
2019-11-10T13:05:29Z,1.398243,Depth,ft,671051,NA
2019-11-10T13:05:31Z,1.431682,Depth,ft,671051,NA
2019-11-10T13:05:33Z,1.450018,Depth,ft,671051,NA
2019-11-10T13:05:35Z,1.468353,Depth,ft,671051,NA
2019-11-10T13:05:37Z,1.486689,Depth,ft,671051,NA
2019-11-10T13:05:13Z,8.706102,RDO Concentration,mg/L,672144,NA
2019-11-10T13:05:15Z,8.706503,RDO Concentration,mg/L,672144,NA
2019-11-10T13:05:17Z,8.706903,RDO Concentration,mg/L,672144,NA
2019-11-10T13:05:19Z,8.688696,RDO Concentration,mg/L,672144,NA
2019-11-10T13:05:21Z,8.687706,RDO Concentration,mg/L,672144,NA
2019-11-10T13:05:23Z,8.686717,RDO Concentration,mg/L,672144,NA
2019-11-10T13:05:25Z,9.607553,RDO Concentration,mg/L,672144,NA
2019-11-10T13:05:27Z,9.658778,RDO Concentration,mg/L,672144,NA
2019-11-10T13:05:29Z,9.710004,RDO Concentration,mg/L,672144,NA
2019-11-10T13:05:31Z,8.96837,RDO Concentration,mg/L,672144,NA
2019-11-10T13:05:33Z,8.948695,RDO Concentration,mg/L,672144,NA
2019-11-10T13:05:35Z,8.929019,RDO Concentration,mg/L,672144,NA
2019-11-10T13:05:37Z,8.909344,RDO Concentration,mg/L,672144,NA
2019-11-10T13:05:13Z,0,Salinity,ppt,672441,NA
2019-11-10T13:05:15Z,0,Salinity,ppt,672441,NA
2019-11-10T13:05:17Z,0,Salinity,ppt,672441,NA
2019-11-10T13:05:19Z,0,Salinity,ppt,672441,NA
2019-11-10T13:05:21Z,0,Salinity,ppt,672441,NA
2019-11-10T13:05:23Z,0,Salinity,ppt,672441,NA
2019-11-10T13:05:25Z,27.01062,Salinity,ppt,672441,NA
2019-11-10T13:05:27Z,28.52594,Salinity,ppt,672441,NA
2019-11-10T13:05:29Z,30.04126,Salinity,ppt,672441,NA
2019-11-10T13:05:31Z,30.06821,Salinity,ppt,672441,NA
2019-11-10T13:05:33Z,30.71094,Salinity,ppt,672441,NA
2019-11-10T13:05:35Z,31.35368,Salinity,ppt,672441,NA
2019-11-10T13:05:37Z,31.99641,Salinity,ppt,672441,NA
2019-11-10T13:05:13Z,23.44007,Temperature,°C,676121,Aqua TROLL 600 Vented
2019-11-10T13:05:15Z,23.43844,Temperature,°C,676121,Aqua TROLL 600 Vented
2019-11-10T13:05:17Z,23.43681,Temperature,°C,676121,Aqua TROLL 600 Vented
2019-11-10T13:05:19Z,23.41434,Temperature,°C,676121,Aqua TROLL 600 Vented
2019-11-10T13:05:21Z,23.41237,Temperature,°C,676121,Aqua TROLL 600 Vented
2019-11-10T13:05:23Z,23.41041,Temperature,°C,676121,Aqua TROLL 600 Vented
2019-11-10T13:05:25Z,24.74529,Temperature,°C,676121,Aqua TROLL 600 Vented
2019-11-10T13:05:27Z,24.81966,Temperature,°C,676121,Aqua TROLL 600 Vented
2019-11-10T13:05:29Z,24.89403,Temperature,°C,676121,Aqua TROLL 600 Vented
2019-11-10T13:05:31Z,24.86919,Temperature,°C,676121,Aqua TROLL 600 Vented
2019-11-10T13:05:33Z,24.89946,Temperature,°C,676121,Aqua TROLL 600 Vented
2019-11-10T13:05:35Z,24.92974,Temperature,°C,676121,Aqua TROLL 600 Vented
2019-11-10T13:05:37Z,24.96001,Temperature,°C,676121,Aqua TROLL 600 Vented
