dtime,value,metric,units,device_sn,device_model
2019-11-01T14:22:26Z,0.1535604,Chlorophyll-a Concentration,µg/L,671721,NA
2019-11-01T14:22:28Z,0.1535604,Chlorophyll-a Concentration,µg/L,671721,NA
2019-11-01T14:22:30Z,0.1424682,Chlorophyll-a Concentration,µg/L,671721,NA
2019-11-01T14:22:32Z,0.2340457,Chlorophyll-a Concentration,µg/L,671721,NA
2019-11-01T14:22:34Z,0.2471046,Chlorophyll-a Concentration,µg/L,671721,NA
2019-11-01T14:22:36Z,0.2601634,Chlorophyll-a Concentration,µg/L,671721,NA
2019-11-01T14:22:38Z,0.2732223,Chlorophyll-a Concentration,µg/L,671721,NA
2019-11-01T14:22:40Z,0.2862812,Chlorophyll-a Concentration,µg/L,671721,NA
2019-11-01T14:22:42Z,0.29934,Chlorophyll-a Concentration,µg/L,671721,NA
2019-11-01T14:22:44Z,0.3123989,Chlorophyll-a Concentration,µg/L,671721,NA
2019-11-01T14:22:56Z,8.881685,Chlorophyll-a Concentration,µg/L,671721,NA
2019-11-01T14:22:26Z,0.4469165,Depth,ft,671051,NA
2019-11-01T14:22:28Z,0.4469165,Depth,ft,671051,NA
2019-11-01T14:22:30Z,0.3083565,Depth,ft,671051,NA
2019-11-01T14:22:32Z,0.5079963,Depth,ft,671051,NA
2019-11-01T14:22:34Z,0.5310758,Depth,ft,671051,NA
2019-11-01T14:22:36Z,0.5541553,Depth,ft,671051,NA
2019-11-01T14:22:38Z,0.5772347,Depth,ft,671051,NA
2019-11-01T14:22:40Z,0.6003143,Depth,ft,671051,NA
2019-11-01T14:22:42Z,0.6233938,Depth,ft,671051,NA
2019-11-01T14:22:44Z,0.6464732,Depth,ft,671051,NA
2019-11-01T14:22:56Z,0.6735259,Depth,ft,671051,NA
2019-11-01T14:22:26Z,27.1151266666667,Latitude,°,NA,NA
2019-11-01T14:22:28Z,27.1151266666667,Latitude,°,NA,NA
2019-11-01T14:22:32Z,27.11512,Latitude,°,NA,NA
2019-11-01T14:22:34Z,27.1151433333333,Latitude,°,NA,NA
2019-11-01T14:22:36Z,27.115155,Latitude,°,NA,NA
2019-11-01T14:22:38Z,27.115155,Latitude,°,NA,NA
2019-11-01T14:22:40Z,27.1151616666667,Latitude,°,NA,NA
2019-11-01T14:22:42Z,27.1151616666667,Latitude,°,NA,NA
2019-11-01T14:22:44Z,27.1151616666667,Latitude,°,NA,NA
2019-11-01T14:22:56Z,27.1151583333333,Latitude,°,NA,NA
2019-11-01T14:22:26Z,-82.486855,Longitude,°,NA,NA
2019-11-01T14:22:28Z,-82.486855,Longitude,°,NA,NA
2019-11-01T14:22:32Z,-82.4868533333333,Longitude,°,NA,NA
2019-11-01T14:22:34Z,-82.4868633333333,Longitude,°,NA,NA
2019-11-01T14:22:36Z,-82.48686,Longitude,°,NA,NA
2019-11-01T14:22:38Z,-82.48686,Longitude,°,NA,NA
2019-11-01T14:22:40Z,-82.4868716666667,Longitude,°,NA,NA
2019-11-01T14:22:42Z,-82.4868716666667,Longitude,°,NA,NA
2019-11-01T14:22:44Z,-82.4868716666667,Longitude,°,NA,NA
2019-11-01T14:22:56Z,-82.4868733333333,Longitude,°,NA,NA
2019-11-01T14:22:26Z,9.708087,RDO Concentration,mg/L,672144,NA
2019-11-01T14:22:28Z,9.708087,RDO Concentration,mg/L,672144,NA
2019-11-01T14:22:30Z,9.325387,RDO Concentration,mg/L,672144,NA
2019-11-01T14:22:32Z,8.969696,RDO Concentration,mg/L,672144,NA
2019-11-01T14:22:34Z,8.898914,RDO Concentration,mg/L,672144,NA
2019-11-01T14:22:36Z,8.828133,RDO Concentration,mg/L,672144,NA
2019-11-01T14:22:38Z,8.757351,RDO Concentration,mg/L,672144,NA
2019-11-01T14:22:40Z,8.686569,RDO Concentration,mg/L,672144,NA
2019-11-01T14:22:42Z,8.615788,RDO Concentration,mg/L,672144,NA
2019-11-01T14:22:44Z,8.545006,RDO Concentration,mg/L,672144,NA
2019-11-01T14:22:56Z,8.051007,RDO Concentration,mg/L,672144,NA
2019-11-01T14:22:26Z,0,Salinity,ppt,672441,NA
2019-11-01T14:22:28Z,0,Salinity,ppt,672441,NA
2019-11-01T14:22:30Z,0,Salinity,ppt,672441,NA
2019-11-01T14:22:32Z,0,Salinity,ppt,672441,NA
2019-11-01T14:22:34Z,0,Salinity,ppt,672441,NA
2019-11-01T14:22:36Z,0,Salinity,ppt,672441,NA
2019-11-01T14:22:38Z,0,Salinity,ppt,672441,NA
2019-11-01T14:22:40Z,0,Salinity,ppt,672441,NA
2019-11-01T14:22:42Z,0,Salinity,ppt,672441,NA
2019-11-01T14:22:44Z,0,Salinity,ppt,672441,NA
2019-11-01T14:22:56Z,34.6081,Salinity,ppt,672441,NA
2019-11-01T14:22:26Z,29.18739,Temperature,°C,676121,Aqua TROLL 600 Vented
2019-11-01T14:22:28Z,29.18739,Temperature,°C,676121,Aqua TROLL 600 Vented
2019-11-01T14:22:30Z,29.06162,Temperature,°C,676121,Aqua TROLL 600 Vented
2019-11-01T14:22:32Z,28.97391,Temperature,°C,676121,Aqua TROLL 600 Vented
2019-11-01T14:22:34Z,28.95497,Temperature,°C,676121,Aqua TROLL 600 Vented
2019-11-01T14:22:36Z,28.93604,Temperature,°C,676121,Aqua TROLL 600 Vented
2019-11-01T14:22:38Z,28.9171,Temperature,°C,676121,Aqua TROLL 600 Vented
2019-11-01T14:22:40Z,28.89817,Temperature,°C,676121,Aqua TROLL 600 Vented
2019-11-01T14:22:42Z,28.87924,Temperature,°C,676121,Aqua TROLL 600 Vented
2019-11-01T14:22:44Z,28.8603,Temperature,°C,676121,Aqua TROLL 600 Vented
2019-11-01T14:22:56Z,29.23089,Temperature,°C,676121,Aqua TROLL 600 Vented
