dtime,value,metric,units,device_sn,device_model
2019-09-18T14:07:34Z,43.6685,Chlorophyll-a Concentration,µg/L,670514,NA
2019-09-18T14:07:36Z,4.109787,Chlorophyll-a Concentration,µg/L,670514,NA
2019-09-18T14:07:38Z,0,Chlorophyll-a Concentration,µg/L,670514,NA
2019-09-18T14:07:40Z,1.103319,Chlorophyll-a Concentration,µg/L,670514,NA
2019-09-18T14:07:42Z,0.3805927,Chlorophyll-a Concentration,µg/L,670514,NA
2019-09-18T14:07:44Z,0.3211202,Chlorophyll-a Concentration,µg/L,670514,NA
2019-09-18T14:07:46Z,0.2477083,Chlorophyll-a Concentration,µg/L,670514,NA
2019-09-18T14:07:48Z,0.2391829,Chlorophyll-a Concentration,µg/L,670514,NA
2019-09-18T14:07:50Z,1.011004,Chlorophyll-a Concentration,µg/L,670514,NA
2019-09-18T14:07:52Z,0.9795522,Chlorophyll-a Concentration,µg/L,670514,NA
2019-09-18T14:07:54Z,0.2850338,Chlorophyll-a Concentration,µg/L,670514,NA
2019-09-18T14:07:56Z,0.2486787,Chlorophyll-a Concentration,µg/L,670514,NA
2019-09-18T14:07:58Z,0.2000256,Chlorophyll-a Concentration,µg/L,670514,NA
2019-09-18T14:08:00Z,0.1840926,Chlorophyll-a Concentration,µg/L,670514,NA
2019-09-18T14:08:02Z,0.1802495,Chlorophyll-a Concentration,µg/L,670514,NA
2019-09-18T14:08:04Z,0.1883673,Chlorophyll-a Concentration,µg/L,670514,NA
2019-09-18T14:08:06Z,0.1690977,Chlorophyll-a Concentration,µg/L,670514,NA
2019-09-18T14:08:08Z,0.2153754,Chlorophyll-a Concentration,µg/L,670514,NA
2019-09-18T14:08:10Z,0.2204286,Chlorophyll-a Concentration,µg/L,670514,NA
2019-09-18T14:08:12Z,0.2021734,Chlorophyll-a Concentration,µg/L,670514,NA
2019-09-18T14:08:14Z,0.2006437,Chlorophyll-a Concentration,µg/L,670514,NA
2019-09-18T14:08:16Z,0.1801704,Chlorophyll-a Concentration,µg/L,670514,NA
2019-09-18T14:08:18Z,0.1457973,Chlorophyll-a Concentration,µg/L,670514,NA
2019-09-18T14:08:20Z,0.2076924,Chlorophyll-a Concentration,µg/L,670514,NA
2019-09-18T14:08:22Z,0.2147152,Chlorophyll-a Concentration,µg/L,670514,NA
2019-09-18T14:08:24Z,0.1477193,Chlorophyll-a Concentration,µg/L,670514,NA
2019-09-18T14:08:26Z,0.1499672,Chlorophyll-a Concentration,µg/L,670514,NA
