dtime,value,metric,units,device_sn,device_model
2019-09-01T12:09:44Z,0.215362,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:09:46Z,0.2177458,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:09:48Z,0.2194515,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:09:50Z,0.1595177,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:09:52Z,0.2156932,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:09:54Z,0.1827929,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:09:56Z,0.1807813,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:09:58Z,0.1895501,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:10:00Z,0.1721123,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:10:02Z,0.166297,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:10:04Z,0.220033,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:10:06Z,0.2272374,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:10:08Z,0.2478521,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:10:10Z,0.2921204,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:10:12Z,0.2367495,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:10:14Z,0.2532934,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:10:16Z,0.2869364,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:10:18Z,0.5231062,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:10:20Z,0.5562824,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:10:22Z,15.18637,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:10:24Z,19.3478,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:10:26Z,20.2262,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:10:28Z,21.94668,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:10:30Z,22.19451,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:10:32Z,10.19389,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:10:34Z,10.66158,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:10:36Z,15.47317,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:10:38Z,12.37543,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:10:40Z,12.17915,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:10:42Z,98.94149,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:10:44Z,109.6695,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:10:46Z,101.3969,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:10:48Z,136.7984,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:10:50Z,140.3553,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:10:52Z,131.9695,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:10:54Z,119.839,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:10:56Z,171.3708,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:10:58Z,144.8089,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:11:00Z,142.7203,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:11:02Z,108.996,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:11:04Z,104.3881,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:11:06Z,50.46275,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:11:08Z,4.911252,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:11:10Z,1.215046,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:11:12Z,0,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:11:14Z,0.2772139,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:11:16Z,0.3316254,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:11:18Z,0.2444063,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:11:20Z,0.2503396,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:11:22Z,0.3327893,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:11:24Z,0.3449442,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:11:26Z,0.2051663,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:11:28Z,0.1595913,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:11:30Z,0.2026941,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:11:32Z,0.1726023,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:09:44Z,1.864283,Depth,ft,671051,NA
2019-09-01T12:09:46Z,2.061159,Depth,ft,671051,NA
2019-09-01T12:09:48Z,2.080348,Depth,ft,671051,NA
2019-09-01T12:09:50Z,4.927603,Depth,ft,671051,NA
2019-09-01T12:09:52Z,7.392767,Depth,ft,671051,NA
2019-09-01T12:09:54Z,9.065455,Depth,ft,671051,NA
2019-09-01T12:09:56Z,9.355685,Depth,ft,671051,NA
2019-09-01T12:09:58Z,11.99123,Depth,ft,671051,NA
2019-09-01T12:10:00Z,15.05254,Depth,ft,671051,NA
2019-09-01T12:10:02Z,15.63845,Depth,ft,671051,NA
2019-09-01T12:10:04Z,19.02149,Depth,ft,671051,NA
2019-09-01T12:10:06Z,19.47232,Depth,ft,671051,NA
2019-09-01T12:10:08Z,20.08748,Depth,ft,671051,NA
2019-09-01T12:10:10Z,23.39474,Depth,ft,671051,NA
2019-09-01T12:10:12Z,25.06568,Depth,ft,671051,NA
2019-09-01T12:10:14Z,27.3372,Depth,ft,671051,NA
2019-09-01T12:10:16Z,27.70225,Depth,ft,671051,NA
2019-09-01T12:10:18Z,27.81159,Depth,ft,671051,NA
2019-09-01T12:10:20Z,27.8242,Depth,ft,671051,NA
2019-09-01T12:10:22Z,27.92576,Depth,ft,671051,NA
2019-09-01T12:10:24Z,27.88912,Depth,ft,671051,NA
2019-09-01T12:10:26Z,27.90387,Depth,ft,671051,NA
2019-09-01T12:10:28Z,27.95239,Depth,ft,671051,NA
2019-09-01T12:10:30Z,27.95992,Depth,ft,671051,NA
2019-09-01T12:10:32Z,27.96519,Depth,ft,671051,NA
2019-09-01T12:10:34Z,27.94213,Depth,ft,671051,NA
2019-09-01T12:10:36Z,27.90706,Depth,ft,671051,NA
2019-09-01T12:10:38Z,27.94358,Depth,ft,671051,NA
2019-09-01T12:10:40Z,27.94711,Depth,ft,671051,NA
2019-09-01T12:10:42Z,27.90082,Depth,ft,671051,NA
2019-09-01T12:10:44Z,27.77765,Depth,ft,671051,NA
2019-09-01T12:10:46Z,27.93981,Depth,ft,671051,NA
2019-09-01T12:10:48Z,27.65802,Depth,ft,671051,NA
2019-09-01T12:10:50Z,27.63477,Depth,ft,671051,NA
2019-09-01T12:10:52Z,27.85692,Depth,ft,671051,NA
2019-09-01T12:10:54Z,27.69481,Depth,ft,671051,NA
2019-09-01T12:10:56Z,27.71084,Depth,ft,671051,NA
2019-09-01T12:10:58Z,27.56479,Depth,ft,671051,NA
2019-09-01T12:11:00Z,27.70707,Depth,ft,671051,NA
2019-09-01T12:11:02Z,27.44222,Depth,ft,671051,NA
2019-09-01T12:11:04Z,27.41219,Depth,ft,671051,NA
2019-09-01T12:11:06Z,27.06332,Depth,ft,671051,NA
2019-09-01T12:11:08Z,26.34642,Depth,ft,671051,NA
2019-09-01T12:11:10Z,26.13093,Depth,ft,671051,NA
2019-09-01T12:11:12Z,26.072,Depth,ft,671051,NA
2019-09-01T12:11:14Z,25.40839,Depth,ft,671051,NA
2019-09-01T12:11:16Z,23.71072,Depth,ft,671051,NA
2019-09-01T12:11:18Z,21.18779,Depth,ft,671051,NA
2019-09-01T12:11:20Z,20.03602,Depth,ft,671051,NA
2019-09-01T12:11:22Z,17.80872,Depth,ft,671051,NA
2019-09-01T12:11:24Z,17.4683,Depth,ft,671051,NA
2019-09-01T12:11:26Z,15.51673,Depth,ft,671051,NA
2019-09-01T12:11:28Z,12.11519,Depth,ft,671051,NA
2019-09-01T12:11:30Z,9.452924,Depth,ft,671051,NA
2019-09-01T12:11:32Z,6.466221,Depth,ft,671051,NA
2019-09-01T12:09:44Z,27.1067983333333,Latitude,°,NA,NA
2019-09-01T12:09:46Z,27.1067983333333,Latitude,°,NA,NA
2019-09-01T12:09:48Z,27.1067983333333,Latitude,°,NA,NA
2019-09-01T12:09:50Z,27.1067983333333,Latitude,°,NA,NA
2019-09-01T12:09:52Z,27.1067983333333,Latitude,°,NA,NA
2019-09-01T12:09:54Z,27.1067983333333,Latitude,°,NA,NA
2019-09-01T12:09:56Z,27.1067983333333,Latitude,°,NA,NA
2019-09-01T12:09:58Z,27.1067983333333,Latitude,°,NA,NA
2019-09-01T12:10:00Z,27.1067983333333,Latitude,°,NA,NA
2019-09-01T12:10:02Z,27.1067983333333,Latitude,°,NA,NA
2019-09-01T12:10:04Z,27.1067983333333,Latitude,°,NA,NA
2019-09-01T12:10:06Z,27.1067983333333,Latitude,°,NA,NA
2019-09-01T12:10:08Z,27.1067983333333,Latitude,°,NA,NA
2019-09-01T12:10:10Z,27.10671,Latitude,°,NA,NA
2019-09-01T12:10:12Z,27.1067033333333,Latitude,°,NA,NA
2019-09-01T12:10:14Z,27.1067033333333,Latitude,°,NA,NA
2019-09-01T12:10:16Z,27.1067033333333,Latitude,°,NA,NA
2019-09-01T12:10:18Z,27.1067033333333,Latitude,°,NA,NA
2019-09-01T12:10:20Z,27.1067033333333,Latitude,°,NA,NA
2019-09-01T12:10:22Z,27.1067033333333,Latitude,°,NA,NA
2019-09-01T12:10:24Z,27.1067033333333,Latitude,°,NA,NA
2019-09-01T12:10:26Z,27.1067033333333,Latitude,°,NA,NA
2019-09-01T12:10:28Z,27.1067033333333,Latitude,°,NA,NA
2019-09-01T12:10:30Z,27.1067033333333,Latitude,°,NA,NA
2019-09-01T12:10:32Z,27.1067033333333,Latitude,°,NA,NA
2019-09-01T12:10:34Z,27.1067033333333,Latitude,°,NA,NA
2019-09-01T12:10:36Z,27.1067033333333,Latitude,°,NA,NA
2019-09-01T12:10:38Z,27.1067033333333,Latitude,°,NA,NA
2019-09-01T12:10:40Z,27.1067033333333,Latitude,°,NA,NA
2019-09-01T12:10:42Z,27.1067033333333,Latitude,°,NA,NA
2019-09-01T12:10:44Z,27.1067033333333,Latitude,°,NA,NA
2019-09-01T12:10:46Z,27.1067033333333,Latitude,°,NA,NA
2019-09-01T12:10:48Z,27.1066216666667,Latitude,°,NA,NA
2019-09-01T12:10:50Z,27.1066216666667,Latitude,°,NA,NA
2019-09-01T12:10:52Z,27.1066133333333,Latitude,°,NA,NA
2019-09-01T12:10:54Z,27.1066133333333,Latitude,°,NA,NA
2019-09-01T12:10:56Z,27.1066133333333,Latitude,°,NA,NA
2019-09-01T12:10:58Z,27.1066133333333,Latitude,°,NA,NA
2019-09-01T12:11:00Z,27.1066133333333,Latitude,°,NA,NA
2019-09-01T12:11:02Z,27.1066133333333,Latitude,°,NA,NA
2019-09-01T12:11:04Z,27.1066133333333,Latitude,°,NA,NA
2019-09-01T12:11:06Z,27.1066133333333,Latitude,°,NA,NA
2019-09-01T12:11:08Z,27.1066133333333,Latitude,°,NA,NA
2019-09-01T12:11:10Z,27.1066133333333,Latitude,°,NA,NA
2019-09-01T12:11:12Z,27.1066133333333,Latitude,°,NA,NA
2019-09-01T12:11:14Z,27.1066133333333,Latitude,°,NA,NA
2019-09-01T12:11:16Z,27.1066133333333,Latitude,°,NA,NA
2019-09-01T12:11:18Z,27.1066133333333,Latitude,°,NA,NA
2019-09-01T12:11:20Z,27.1066133333333,Latitude,°,NA,NA
2019-09-01T12:11:22Z,27.1066133333333,Latitude,°,NA,NA
2019-09-01T12:11:24Z,27.1066133333333,Latitude,°,NA,NA
2019-09-01T12:11:26Z,27.1066133333333,Latitude,°,NA,NA
2019-09-01T12:11:28Z,27.1066133333333,Latitude,°,NA,NA
2019-09-01T12:11:30Z,27.1066133333333,Latitude,°,NA,NA
2019-09-01T12:11:32Z,27.1066133333333,Latitude,°,NA,NA
2019-09-01T12:09:44Z,-82.4781,Longitude,°,NA,NA
2019-09-01T12:09:46Z,-82.4781,Longitude,°,NA,NA
2019-09-01T12:09:48Z,-82.4781,Longitude,°,NA,NA
2019-09-01T12:09:50Z,-82.4781,Longitude,°,NA,NA
2019-09-01T12:09:52Z,-82.4781,Longitude,°,NA,NA
2019-09-01T12:09:54Z,-82.4781,Longitude,°,NA,NA
2019-09-01T12:09:56Z,-82.4781,Longitude,°,NA,NA
2019-09-01T12:09:58Z,-82.4781,Longitude,°,NA,NA
2019-09-01T12:10:00Z,-82.4781,Longitude,°,NA,NA
2019-09-01T12:10:02Z,-82.4781,Longitude,°,NA,NA
2019-09-01T12:10:04Z,-82.4781,Longitude,°,NA,NA
2019-09-01T12:10:06Z,-82.4781,Longitude,°,NA,NA
2019-09-01T12:10:08Z,-82.4781,Longitude,°,NA,NA
2019-09-01T12:10:10Z,-82.4780816666667,Longitude,°,NA,NA
2019-09-01T12:10:12Z,-82.4780716666667,Longitude,°,NA,NA
2019-09-01T12:10:14Z,-82.4780716666667,Longitude,°,NA,NA
2019-09-01T12:10:16Z,-82.4780716666667,Longitude,°,NA,NA
2019-09-01T12:10:18Z,-82.4780716666667,Longitude,°,NA,NA
2019-09-01T12:10:20Z,-82.4780716666667,Longitude,°,NA,NA
2019-09-01T12:10:22Z,-82.4780716666667,Longitude,°,NA,NA
2019-09-01T12:10:24Z,-82.4780716666667,Longitude,°,NA,NA
2019-09-01T12:10:26Z,-82.4780716666667,Longitude,°,NA,NA
2019-09-01T12:10:28Z,-82.4780716666667,Longitude,°,NA,NA
2019-09-01T12:10:30Z,-82.4780716666667,Longitude,°,NA,NA
2019-09-01T12:10:32Z,-82.4780716666667,Longitude,°,NA,NA
2019-09-01T12:10:34Z,-82.4780716666667,Longitude,°,NA,NA
2019-09-01T12:10:36Z,-82.4780716666667,Longitude,°,NA,NA
2019-09-01T12:10:38Z,-82.4780716666667,Longitude,°,NA,NA
2019-09-01T12:10:40Z,-82.4780716666667,Longitude,°,NA,NA
2019-09-01T12:10:42Z,-82.4780716666667,Longitude,°,NA,NA
2019-09-01T12:10:44Z,-82.4780716666667,Longitude,°,NA,NA
2019-09-01T12:10:46Z,-82.4780716666667,Longitude,°,NA,NA
2019-09-01T12:10:48Z,-82.4780266666667,Longitude,°,NA,NA
2019-09-01T12:10:50Z,-82.4780266666667,Longitude,°,NA,NA
2019-09-01T12:10:52Z,-82.4780216666667,Longitude,°,NA,NA
2019-09-01T12:10:54Z,-82.4780216666667,Longitude,°,NA,NA
2019-09-01T12:10:56Z,-82.4780216666667,Longitude,°,NA,NA
2019-09-01T12:10:58Z,-82.4780216666667,Longitude,°,NA,NA
2019-09-01T12:11:00Z,-82.4780216666667,Longitude,°,NA,NA
2019-09-01T12:11:02Z,-82.4780216666667,Longitude,°,NA,NA
2019-09-01T12:11:04Z,-82.4780216666667,Longitude,°,NA,NA
2019-09-01T12:11:06Z,-82.4780216666667,Longitude,°,NA,NA
2019-09-01T12:11:08Z,-82.4780216666667,Longitude,°,NA,NA
2019-09-01T12:11:10Z,-82.4780216666667,Longitude,°,NA,NA
2019-09-01T12:11:12Z,-82.4780216666667,Longitude,°,NA,NA
2019-09-01T12:11:14Z,-82.4780216666667,Longitude,°,NA,NA
2019-09-01T12:11:16Z,-82.4780216666667,Longitude,°,NA,NA
2019-09-01T12:11:18Z,-82.4780216666667,Longitude,°,NA,NA
2019-09-01T12:11:20Z,-82.4780216666667,Longitude,°,NA,NA
2019-09-01T12:11:22Z,-82.4780216666667,Longitude,°,NA,NA
2019-09-01T12:11:24Z,-82.4780216666667,Longitude,°,NA,NA
2019-09-01T12:11:26Z,-82.4780216666667,Longitude,°,NA,NA
2019-09-01T12:11:28Z,-82.4780216666667,Longitude,°,NA,NA
2019-09-01T12:11:30Z,-82.4780216666667,Longitude,°,NA,NA
2019-09-01T12:11:32Z,-82.4780216666667,Longitude,°,NA,NA
2019-09-01T12:09:44Z,5.192507,RDO Concentration,mg/L,672144,NA
2019-09-01T12:09:46Z,5.154261,RDO Concentration,mg/L,672144,NA
2019-09-01T12:09:48Z,5.147968,RDO Concentration,mg/L,672144,NA
2019-09-01T12:09:50Z,5.149432,RDO Concentration,mg/L,672144,NA
2019-09-01T12:09:52Z,5.119384,RDO Concentration,mg/L,672144,NA
2019-09-01T12:09:54Z,5.048814,RDO Concentration,mg/L,672144,NA
2019-09-01T12:09:56Z,5.038775,RDO Concentration,mg/L,672144,NA
2019-09-01T12:09:58Z,5.041546,RDO Concentration,mg/L,672144,NA
2019-09-01T12:10:00Z,5.0407400000000004,RDO Concentration,mg/L,672144,NA
2019-09-01T12:10:02Z,5.026878,RDO Concentration,mg/L,672144,NA
2019-09-01T12:10:04Z,4.988856,RDO Concentration,mg/L,672144,NA
2019-09-01T12:10:06Z,4.98312,RDO Concentration,mg/L,672144,NA
2019-09-01T12:10:08Z,4.888501,RDO Concentration,mg/L,672144,NA
2019-09-01T12:10:10Z,4.829592,RDO Concentration,mg/L,672144,NA
2019-09-01T12:10:12Z,4.77339,RDO Concentration,mg/L,672144,NA
2019-09-01T12:10:14Z,4.711995,RDO Concentration,mg/L,672144,NA
2019-09-01T12:10:16Z,4.666968,RDO Concentration,mg/L,672144,NA
2019-09-01T12:10:18Z,4.572813,RDO Concentration,mg/L,672144,NA
2019-09-01T12:10:20Z,4.558637,RDO Concentration,mg/L,672144,NA
2019-09-01T12:10:22Z,4.544478,RDO Concentration,mg/L,672144,NA
2019-09-01T12:10:24Z,4.535849,RDO Concentration,mg/L,672144,NA
2019-09-01T12:10:26Z,4.529766,RDO Concentration,mg/L,672144,NA
2019-09-01T12:10:28Z,4.520269,RDO Concentration,mg/L,672144,NA
2019-09-01T12:10:30Z,4.518747,RDO Concentration,mg/L,672144,NA
2019-09-01T12:10:32Z,4.517863,RDO Concentration,mg/L,672144,NA
2019-09-01T12:10:34Z,4.511575,RDO Concentration,mg/L,672144,NA
2019-09-01T12:10:36Z,4.503595,RDO Concentration,mg/L,672144,NA
2019-09-01T12:10:38Z,4.505311,RDO Concentration,mg/L,672144,NA
2019-09-01T12:10:40Z,4.505241,RDO Concentration,mg/L,672144,NA
2019-09-01T12:10:42Z,4.498183,RDO Concentration,mg/L,672144,NA
2019-09-01T12:10:44Z,4.501453,RDO Concentration,mg/L,672144,NA
2019-09-01T12:10:46Z,4.494205,RDO Concentration,mg/L,672144,NA
2019-09-01T12:10:48Z,4.474589,RDO Concentration,mg/L,672144,NA
