dtime,value,metric,units,device_sn,device_model
2019-09-01T12:50:08Z,0.01082451,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:50:10Z,0.01720573,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:50:12Z,0.05986257,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:50:14Z,0.06547224,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:50:16Z,0.137246,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:50:18Z,0.1023932,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:50:20Z,0.07256495,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:50:22Z,0.112207,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:50:24Z,0.1005578,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:50:26Z,0.0857432,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:50:28Z,0.08281162,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:50:30Z,0.149389,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:50:32Z,0.1110422,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:50:34Z,0.1362286,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:50:36Z,0.1599486,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:50:38Z,0.1643358,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:50:40Z,0.08129957,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:50:42Z,0.185539,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:50:44Z,0.2168125,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:50:46Z,0.1435063,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:50:48Z,0.1323109,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:50:50Z,0.12727,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:50:52Z,0.1410561,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:50:54Z,0.2245207,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:50:56Z,0.1766774,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:50:58Z,0.1744097,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:51:00Z,0.1822726,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:51:02Z,0.2154872,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:51:04Z,0.2204357,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:51:06Z,0.1647591,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:51:08Z,0.1636189,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:51:10Z,2.044733,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:51:12Z,2.295214,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:51:14Z,0.4974077,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:51:16Z,0.25509540000000003,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:51:18Z,0.2090767,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:51:20Z,0.1930003,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:51:22Z,0.238984,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:51:24Z,0.2446029,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:51:26Z,0.2328967,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:51:28Z,0.332724,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:51:30Z,0.3446716,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:51:32Z,0.3566193,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:51:34Z,3.735765,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:51:36Z,4.084633,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:51:38Z,4.433501,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:51:40Z,4.408071,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:51:42Z,4.59819,Chlorophyll-a Concentration,µg/L,671721,NA
2019-09-01T12:51:44Z,4.78831,Chlorophyll-a Concentration,µg/L,671721,NA
