dtime,value,metric,units,device_sn,device_model
2020-01-24T15:08:29Z,0.05046549,Chlorophyll-a Concentration,µg/L,671693,NA
2020-01-24T15:08:31Z,0.05046549,Chlorophyll-a Concentration,µg/L,671693,NA
2020-01-24T15:08:33Z,0.03002548,Chlorophyll-a Concentration,µg/L,671693,NA
2020-01-24T15:08:35Z,0.05599381,Chlorophyll-a Concentration,µg/L,671693,NA
2020-01-24T15:08:37Z,0.05276473,Chlorophyll-a Concentration,µg/L,671693,NA
2020-01-24T15:08:39Z,0.04307835,Chlorophyll-a Concentration,µg/L,671693,NA
2020-01-24T15:08:41Z,0.04128781,Chlorophyll-a Concentration,µg/L,671693,NA
2020-01-24T15:08:43Z,0.04934127,Chlorophyll-a Concentration,µg/L,671693,NA
2020-01-24T15:08:45Z,0.0255264,Chlorophyll-a Concentration,µg/L,671693,NA
2020-01-24T15:08:47Z,0.04018384,Chlorophyll-a Concentration,µg/L,671693,NA
2020-01-24T15:08:49Z,0.02469997,Chlorophyll-a Concentration,µg/L,671693,NA
2020-01-24T15:08:51Z,0.02354172,Chlorophyll-a Concentration,µg/L,671693,NA
2020-01-24T15:08:53Z,0.04028396,Chlorophyll-a Concentration,µg/L,671693,NA
2020-01-24T15:08:55Z,0.04258888,Chlorophyll-a Concentration,µg/L,671693,NA
2020-01-24T15:08:57Z,0.05568866,Chlorophyll-a Concentration,µg/L,671693,NA
2020-01-24T15:08:59Z,0.05468417,Chlorophyll-a Concentration,µg/L,671693,NA
2020-01-24T15:09:01Z,0.06020828,Chlorophyll-a Concentration,µg/L,671693,NA
2020-01-24T15:09:03Z,0.06083762,Chlorophyll-a Concentration,µg/L,671693,NA
2020-01-24T15:09:05Z,0.03597575,Chlorophyll-a Concentration,µg/L,671693,NA
2020-01-24T15:09:07Z,0.04979401,Chlorophyll-a Concentration,µg/L,671693,NA
2020-01-24T15:09:09Z,0.05009181,Chlorophyll-a Concentration,µg/L,671693,NA
2020-01-24T15:09:11Z,0.05262225,Chlorophyll-a Concentration,µg/L,671693,NA
2020-01-24T15:09:13Z,0.04262199,Chlorophyll-a Concentration,µg/L,671693,NA
2020-01-24T15:09:15Z,0.0414058,Chlorophyll-a Concentration,µg/L,671693,NA
2020-01-24T15:09:17Z,0.03928526,Chlorophyll-a Concentration,µg/L,671693,NA
2020-01-24T15:09:19Z,0.04799333,Chlorophyll-a Concentration,µg/L,671693,NA
2020-01-24T15:09:21Z,0.04334196,Chlorophyll-a Concentration,µg/L,671693,NA
