dtime,value,metric,units,device_sn,device_model
2019-12-17T12:30:53Z,0.2244214,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:30:55Z,0.2245888,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:30:57Z,0.2336432,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:30:59Z,0.2179831,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:31:01Z,0.2166749,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:31:03Z,0.2427848,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:31:05Z,0.2293606,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:31:07Z,0.2348399,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:31:09Z,0.2347575,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:31:11Z,0.227413,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:31:13Z,0.2413443,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:31:15Z,0.2219341,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:31:17Z,0.2271282,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:31:19Z,0.2285033,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:31:21Z,0.229096,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:31:23Z,0.210916,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:31:25Z,0.2334979,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:31:27Z,0.227549,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:31:29Z,0.2247442,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:31:31Z,0.2354496,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:31:33Z,0.2359888,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:31:35Z,0.2365556,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:31:37Z,0.2396248,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:31:39Z,0.2306215,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:31:41Z,0.2283564,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:31:43Z,0.2309465,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:31:45Z,0.2312404,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:31:47Z,0.2346448,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:31:49Z,0.2435817,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:31:51Z,0.2373023,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:31:53Z,0.2185434,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:31:55Z,0.2030625,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:31:57Z,0.2001417,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:31:59Z,0.2553272,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:32:01Z,0.2618555,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:32:03Z,0.3135529,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:32:05Z,0.3126945,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:32:07Z,0.3148817,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:32:09Z,0.2890043,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:32:11Z,0.2654182,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:32:13Z,0.281152,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:32:15Z,0.2703631,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:32:17Z,0.2827899,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:32:19Z,0.2821902,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:32:21Z,0.2826891,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:32:23Z,0.2819326,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:32:25Z,0.2831718,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:32:27Z,0.2733116,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:32:29Z,0.3003421,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:32:31Z,0.3037816,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:32:33Z,0.2757505,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:32:35Z,0.2764899,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:32:37Z,0.3065908,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:32:39Z,0.2934479,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:32:41Z,0.3033548,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:32:43Z,0.3038621,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:32:45Z,0.2780393,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:32:47Z,0.2915064,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:32:49Z,0.3061043,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:32:51Z,0.2885269,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:32:53Z,0.280226,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:32:55Z,0.2782413,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:32:57Z,0.2998097,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:30:53Z,1.470427,Depth,ft,671053,NA
2019-12-17T12:30:55Z,1.530898,Depth,ft,671053,NA
2019-12-17T12:30:57Z,1.493,Depth,ft,671053,NA
2019-12-17T12:30:59Z,1.422504,Depth,ft,671053,NA
2019-12-17T12:31:01Z,1.41211,Depth,ft,671053,NA
2019-12-17T12:31:03Z,1.562619,Depth,ft,671053,NA
2019-12-17T12:31:05Z,1.422732,Depth,ft,671053,NA
2019-12-17T12:31:07Z,1.303499,Depth,ft,671053,NA
2019-12-17T12:31:09Z,1.284873,Depth,ft,671053,NA
2019-12-17T12:31:11Z,1.138668,Depth,ft,671053,NA
2019-12-17T12:31:13Z,1.164569,Depth,ft,671053,NA
2019-12-17T12:31:15Z,1.217411,Depth,ft,671053,NA
2019-12-17T12:31:17Z,1.262605,Depth,ft,671053,NA
2019-12-17T12:31:19Z,1.236913,Depth,ft,671053,NA
2019-12-17T12:31:21Z,1.234832,Depth,ft,671053,NA
2019-12-17T12:31:23Z,1.297586,Depth,ft,671053,NA
2019-12-17T12:31:25Z,1.472751,Depth,ft,671053,NA
2019-12-17T12:31:27Z,1.613843,Depth,ft,671053,NA
2019-12-17T12:31:29Z,1.505674,Depth,ft,671053,NA
2019-12-17T12:31:31Z,1.46372,Depth,ft,671053,NA
2019-12-17T12:31:33Z,1.468744,Depth,ft,671053,NA
2019-12-17T12:31:35Z,1.468696,Depth,ft,671053,NA
2019-12-17T12:31:37Z,1.410063,Depth,ft,671053,NA
2019-12-17T12:31:39Z,1.682274,Depth,ft,671053,NA
2019-12-17T12:31:41Z,1.606939,Depth,ft,671053,NA
2019-12-17T12:31:43Z,1.80411,Depth,ft,671053,NA
2019-12-17T12:31:45Z,1.825869,Depth,ft,671053,NA
2019-12-17T12:31:47Z,2.512224,Depth,ft,671053,NA
