dtime,value,metric,units,device_sn,device_model
2019-12-17T11:45:53Z,0.4063939,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T11:45:55Z,0.2401884,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T11:45:57Z,0.2045275,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T11:45:59Z,0.1890718,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T11:46:01Z,0.1876658,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T11:46:03Z,0.2020863,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T11:46:05Z,0.2315512,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T11:46:07Z,0.2141078,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T11:46:09Z,0.2248556,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T11:46:11Z,0.2254114,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T11:46:13Z,0.2216277,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T11:46:15Z,0.2068992,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T11:46:17Z,0.2101803,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T11:46:19Z,0.2084845,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T11:46:21Z,0.2227277,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T11:46:23Z,0.196713,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T11:46:25Z,0.1936115,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T11:46:27Z,0.20942,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T11:46:29Z,0.2110394,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T11:46:31Z,0.189094,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T11:46:33Z,0.1947569,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T11:46:35Z,0.1946832,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T11:46:37Z,0.1835195,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T11:46:39Z,0.1721116,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T11:46:41Z,0.1782717,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T11:46:43Z,0.2022137,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T11:46:45Z,0.1953677,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T11:46:47Z,0.1954444,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T11:46:49Z,0.1992501,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T11:46:51Z,0.2117886,Chlorophyll-a Concentration,µg/L,671693,NA
