dtime,value,metric,units,device_sn,device_model
2019-12-17T12:46:58Z,0.1379029,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:47:00Z,0.1607137,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:47:02Z,0.1656766,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:47:04Z,0.1550291,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:47:06Z,0.1536526,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:47:08Z,0.1694142,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:47:10Z,0.175805,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:47:12Z,0.1420224,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:47:14Z,0.1348619,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:47:16Z,0.1328675,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:47:18Z,0.1562057,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:47:20Z,0.1777296,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:47:22Z,0.1525664,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:47:24Z,0.1570137,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:47:26Z,0.1668572,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:47:28Z,0.1686445,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:47:30Z,0.1713383,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:47:32Z,0.1745928,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:47:34Z,0.1829731,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:47:36Z,0.1534576,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:47:38Z,0.1692942,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:47:40Z,0.1700255,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:47:42Z,0.142326,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:47:44Z,0.1608815,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:47:46Z,0.1894395,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:47:48Z,0.1901515,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:47:50Z,0.1913701,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:47:52Z,0.1638564,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:47:54Z,0.1789093,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:47:56Z,0.1346221,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:47:58Z,0.1399499,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:48:00Z,0.138523,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:48:02Z,0.139166,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:48:04Z,0.16979,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:48:06Z,0.1766406,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:48:08Z,0.1781855,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:48:10Z,0.1806442,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:48:12Z,0.1765512,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:48:14Z,0.1760806,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:48:16Z,0.1968719,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:48:18Z,0.1990803,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:48:20Z,0.1899617,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:48:22Z,0.1967653,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:48:24Z,0.1815953,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:48:26Z,0.1798991,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:48:28Z,0.1781294,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:48:30Z,0.2076761,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:48:32Z,0.1870195,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:48:34Z,0.169524,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:48:36Z,0.1768678,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:48:38Z,0.1773926,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:48:40Z,0.1877713,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:48:42Z,0.1810286,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:48:44Z,0.1620401,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:48:46Z,0.1827213,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:48:48Z,0.185187,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:48:50Z,0.1865897,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:48:52Z,0.1694445,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:48:54Z,0.1660931,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:48:56Z,0.1991104,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:48:58Z,0.1626144,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:49:00Z,0.1756893,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:49:02Z,0.1756119,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:49:04Z,0.1706762,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:49:06Z,0.1743723,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T12:46:58Z,1.400663,Depth,ft,671053,NA
2019-12-17T12:47:00Z,2.105504,Depth,ft,671053,NA
2019-12-17T12:47:02Z,1.580939,Depth,ft,671053,NA
2019-12-17T12:47:04Z,1.662548,Depth,ft,671053,NA
2019-12-17T12:47:06Z,1.650162,Depth,ft,671053,NA
2019-12-17T12:47:08Z,1.950668,Depth,ft,671053,NA
2019-12-17T12:47:10Z,2.121659,Depth,ft,671053,NA
2019-12-17T12:47:12Z,2.122072,Depth,ft,671053,NA
2019-12-17T12:47:14Z,2.349452,Depth,ft,671053,NA
2019-12-17T12:47:16Z,2.380318,Depth,ft,671053,NA
2019-12-17T12:47:18Z,2.274178,Depth,ft,671053,NA
2019-12-17T12:47:20Z,2.033566,Depth,ft,671053,NA
2019-12-17T12:47:22Z,2.401389,Depth,ft,671053,NA
2019-12-17T12:47:24Z,2.324153,Depth,ft,671053,NA
2019-12-17T12:47:26Z,2.291744,Depth,ft,671053,NA
2019-12-17T12:47:28Z,2.280737,Depth,ft,671053,NA
2019-12-17T12:47:30Z,2.444795,Depth,ft,671053,NA
2019-12-17T12:47:32Z,2.622299,Depth,ft,671053,NA
2019-12-17T12:47:34Z,2.462433,Depth,ft,671053,NA
2019-12-17T12:47:36Z,2.370219,Depth,ft,671053,NA
2019-12-17T12:47:38Z,2.391575,Depth,ft,671053,NA
2019-12-17T12:47:40Z,2.391609,Depth,ft,671053,NA
2019-12-17T12:47:42Z,2.487881,Depth,ft,671053,NA
2019-12-17T12:47:44Z,2.388275,Depth,ft,671053,NA
2019-12-17T12:47:46Z,2.2733,Depth,ft,671053,NA
2019-12-17T12:47:48Z,2.356598,Depth,ft,671053,NA
2019-12-17T12:47:50Z,2.363754,Depth,ft,671053,NA
2019-12-17T12:47:52Z,2.355782,Depth,ft,671053,NA
2019-12-17T12:47:54Z,2.393624,Depth,ft,671053,NA
2019-12-17T12:47:56Z,2.341682,Depth,ft,671053,NA
2019-12-17T12:47:58Z,2.301992,Depth,ft,671053,NA
