dtime,value,metric,units,device_sn,device_model
2019-12-17T08:41:40Z,0.1220571,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T08:41:42Z,0.1164414,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T08:41:44Z,0.1444199,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T08:41:46Z,0.1472152,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T08:41:48Z,0.1430896,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T08:41:50Z,0.1311154,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T08:41:52Z,0.1141077,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T08:41:54Z,0.1115073,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T08:41:56Z,0.1396942,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T08:41:58Z,0.1560715,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T08:42:00Z,0.1414886,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T08:42:02Z,0.1570192,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T08:42:04Z,0.1484704,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T08:42:06Z,0.1480968,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T08:42:08Z,0.1442664,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T08:42:10Z,0.1504524,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T08:42:12Z,0.1448337,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T08:42:14Z,0.1445034,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T08:42:16Z,0.1441364,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T08:42:18Z,0.1397687,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T08:42:20Z,0.1416971,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T08:42:22Z,0.1441127,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T08:42:24Z,0.1420281,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T08:42:26Z,0.1547486,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T08:42:28Z,0.1563352,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T08:42:30Z,0.1511609,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T08:42:32Z,0.137591,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T08:42:34Z,0.1248162,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T08:42:36Z,0.1226906,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T08:42:38Z,0.1260532,Chlorophyll-a Concentration,µg/L,671693,NA
