dtime,value,metric,units,device_sn,device_model
2019-12-17T09:05:19Z,0.06480467,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T09:05:21Z,0.04106776,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T09:05:23Z,0.05237751,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T09:05:25Z,0.0725519,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T09:05:27Z,0.07840931,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T09:05:29Z,0.0798682,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T09:05:31Z,0.06361724,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T09:05:33Z,0.05874634,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T09:05:35Z,0.06630858,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T09:05:37Z,0.05672885,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T09:05:39Z,0.06975267,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T09:05:41Z,0.07103389,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T09:05:43Z,0.0606309,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T09:05:45Z,0.07174633,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T09:05:47Z,0.05709369,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T09:05:49Z,0.07509048,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T09:05:51Z,0.0559285,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T09:05:53Z,0.05409806,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T09:05:55Z,0.06871359,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T09:05:57Z,0.09113308,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T09:05:59Z,0.05608774,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T09:06:01Z,0.0592774,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T09:06:03Z,0.07421707,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T09:06:05Z,0.07662191,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T09:06:07Z,0.06347929,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T09:06:09Z,0.06530625,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T09:06:11Z,0.05265522,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T09:06:13Z,0.07947493,Chlorophyll-a Concentration,µg/L,671693,NA
