dtime,value,metric,units,device_sn,device_model
2019-12-17T13:05:54Z,5.726888,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T13:05:56Z,3.503677,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T13:05:58Z,2.801698,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T13:06:00Z,3.256856,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T13:06:02Z,2.152633,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T13:06:04Z,2.029244,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T13:06:06Z,0.6981978,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T13:06:08Z,0.4156598,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T13:06:10Z,0.3205811,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T13:06:12Z,1.684028,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T13:06:14Z,0.4925778,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T13:06:16Z,0.3740407,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T13:06:18Z,0.3046666,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T13:06:20Z,0.2940917,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T13:06:22Z,0.3252443,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T13:06:24Z,0.3294097,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T13:06:26Z,0.5517991,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T13:06:28Z,0.4329249,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T13:06:30Z,0.3423942,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T13:06:32Z,0.3461446,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T13:06:34Z,0.9534862,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T13:06:36Z,1.037983,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T13:06:38Z,1.439198,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T13:06:40Z,1.298803,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T13:06:42Z,0.4738314,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T13:06:44Z,0.6995759,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T13:06:46Z,0.6947461,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T13:06:48Z,1.104806,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T13:06:50Z,1.35361,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T13:06:52Z,0.4651067,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T13:06:54Z,0.589612,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T13:06:56Z,0.3767326,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T13:06:58Z,0.3610429,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T13:07:00Z,0.6096416,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T13:07:02Z,0.3472859,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T13:07:04Z,0.3258014,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T13:07:06Z,0.3137625,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T13:07:08Z,0.3094557,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T13:07:10Z,0.3085786,Chlorophyll-a Concentration,µg/L,671693,NA
2019-12-17T13:07:12Z,0.2944159,Chlorophyll-a Concentration,µg/L,671693,NA
