dtime,value,metric,units,device_sn,device_model
2019-08-23T16:00:07Z,0.1062857,Chlorophyll-a Concentration,µg/L,671721,NA
2019-08-23T16:00:09Z,0.124773,Chlorophyll-a Concentration,µg/L,671721,NA
2019-08-23T16:00:11Z,0.1298427,Chlorophyll-a Concentration,µg/L,671721,NA
2019-08-23T16:00:07Z,-0.9306744,Depth,ft,671051,NA
2019-08-23T16:00:09Z,-0.9194843,Depth,ft,671051,NA
2019-08-23T16:00:11Z,-0.9335226,Depth,ft,671051,NA
2019-08-23T16:00:07Z,26.6340483333333,Latitude,°,NA,NA
2019-08-23T16:00:09Z,26.6340483333333,Latitude,°,NA,NA
2019-08-23T16:00:11Z,26.63403,Latitude,°,NA,NA
2019-08-23T16:00:07Z,-82.0667733333333,Longitude,°,NA,NA
2019-08-23T16:00:09Z,-82.0667733333333,Longitude,°,NA,NA
2019-08-23T16:00:11Z,-82.0667783333333,Longitude,°,NA,NA
2019-08-23T16:00:07Z,8.069966,RDO Concentration,mg/L,672144,NA
2019-08-23T16:00:09Z,8.066883,RDO Concentration,mg/L,672144,NA
2019-08-23T16:00:11Z,8.064883,RDO Concentration,mg/L,672144,NA
2019-08-23T16:00:07Z,0,Salinity,ppt,672441,NA
2019-08-23T16:00:09Z,0,Salinity,ppt,672441,NA
2019-08-23T16:00:11Z,0,Salinity,ppt,672441,NA
2019-08-23T16:00:07Z,25.46607,Temperature,°C,676121,Aqua TROLL 600 Vented
2019-08-23T16:00:09Z,25.46865,Temperature,°C,676121,Aqua TROLL 600 Vented
2019-08-23T16:00:11Z,25.47198,Temperature,°C,676121,Aqua TROLL 600 Vented
